-------------------------------------------------------------------------
                      Texto |       Tipo |                     Atributo
-------------------------------------------------------------------------
                        call|       CALL |                    XXXXXXXX
                        char|       CHAR |                    XXXXXXXX
                          do|         DO |                    XXXXXXXX
                        else|       ELSE |                    XXXXXXXX
                       false|      FALSE |                    XXXXXXXX
                       float|      FLOAT |                    XXXXXXXX
                         for|        FOR |                    XXXXXXXX
                   functions|  FUNCTIONS |                    XXXXXXXX
                      global|     GLOBAL |                    XXXXXXXX
                          if|         IF |                    XXXXXXXX
                         int|        INT |                    XXXXXXXX
                       local|      LOCAL |                    XXXXXXXX
                       logic|      LOGIC |                    XXXXXXXX
                        main|       MAIN |                    XXXXXXXX
                     program|    PROGRAM |                    XXXXXXXX
                        read|       READ |                    XXXXXXXX
                      return|     RETURN |                    XXXXXXXX
                  statements| STATEMENTS |                    XXXXXXXX
                        true|       TRUE |                    XXXXXXXX
                        void|       VOID |                    XXXXXXXX
                       while|      WHILE |                    XXXXXXXX
                       write|      WRITE |                    XXXXXXXX
                           a|         ID |                           a
                           b|         ID |                           b
                           c|         ID |                           c
                           d|         ID |                           d
                           e|         ID |                           e
                           f|         ID |                           f
                           g|         ID |                           g
                           h|         ID |                           h
                           i|         ID |                           i
                           j|         ID |                           j
                           k|         ID |                           k
                           l|         ID |                           l
                           m|         ID |                           m
                           n|         ID |                           n
                           o|         ID |                           o
                           p|         ID |                           p
                           q|         ID |                           q
                           r|         ID |                           r
                           s|         ID |                           s
                           t|         ID |                           t
                           u|         ID |                           u
                           v|         ID |                           v
                           w|         ID |                           w
                           x|         ID |                           x
                           y|         ID |                           y
                           z|         ID |                           z
                           A|         ID |                           A
                           B|         ID |                           B
                           C|         ID |                           C
                           D|         ID |                           D
                           E|         ID |                           E
                           F|         ID |                           F
                           G|         ID |                           G
                           H|         ID |                           H
                           I|         ID |                           I
                           J|         ID |                           J
                           K|         ID |                           K
                           L|         ID |                           L
                           M|         ID |                           M
                           N|         ID |                           N
                           O|         ID |                           O
                           P|         ID |                           P
                           Q|         ID |                           Q
                           R|         ID |                           R
                           S|         ID |                           S
                           T|         ID |                           T
                           U|         ID |                           U
                           V|         ID |                           V
                           W|         ID |                           W
                           X|         ID |                           X
                           Y|         ID |                           Y
                           Z|         ID |                           Z
                           0|      INTCT |                           0
                           1|      INTCT |                           1
                           2|      INTCT |                           2
                           3|      INTCT |                           3
                           4|      INTCT |                           4
                           5|      INTCT |                           5
                           6|      INTCT |                           6
                           7|      INTCT |                           7
                           9|      INTCT |                           9
                         'a'|     CHARCT |                           a
                         1.2|    FLOATCT |                    1.200000
                        1.23|    FLOATCT |                    1.230000
                       1.2e3|    FLOATCT |                 1200.000000
                      1.2e+3|    FLOATCT |                 1200.000000
                      1.2e-3|    FLOATCT |                    0.001200
                       1.2E3|    FLOATCT |                 1200.000000
                      1.2E+3|    FLOATCT |                 1200.000000
                      1.2E-3|    FLOATCT |                    0.001200
                          |||         OR |                    XXXXXXXX
                          &&|        AND |                    XXXXXXXX
                           !|        NOT |                    XXXXXXXX
                           <|      RELOP |                          LT
                          <=|      RELOP |                         LEQ
                           >|      RELOP |                          GT
                          >=|      RELOP |                         GEQ
                           =|      RELOP |                          EQ
                          !=|      RELOP |                         DIF
                           +|       ADOP |                        PLUS
                           -|       ADOP |                       MINUS
                           *|     MULTOP |                        TIME
                           /|     MULTOP |                         DIV
                           %|     MULTOP |                         REM
                           ~|        NEG |                    XXXXXXXX
                          <-|     ASSIGN |                    XXXXXXXX
                           (|      OPPAR |                    XXXXXXXX
                           )|      CLPAR |                    XXXXXXXX
                           [|     OPBRAK |                    XXXXXXXX
                           ]|     CLBRAK |                    XXXXXXXX
                           {|    OPBRACE |                    XXXXXXXX
                           }|    CLBRACE |                    XXXXXXXX
                           ;|     SCOLON |                    XXXXXXXX
                           ,|      COMMA |                    XXXXXXXX
                           :|      COLON |                    XXXXXXXX
                     program|    PROGRAM |                    XXXXXXXX
              AnaliseDeTexto|         ID |              AnaliseDeTexto
                           {|    OPBRACE |                    XXXXXXXX
                      global|     GLOBAL |                    XXXXXXXX
                           :|      COLON |                    XXXXXXXX
                        char|       CHAR |                    XXXXXXXX
                       nomes|         ID |                       nomes
                           [|     OPBRAK |                    XXXXXXXX
                          50|      INTCT |                          50
                           ,|      COMMA |                    XXXXXXXX
                          10|      INTCT |                          10
                           ]|     CLBRAK |                    XXXXXXXX
                           ,|      COMMA |                    XXXXXXXX
                     palavra|         ID |                     palavra
                           [|     OPBRAK |                    XXXXXXXX
                          10|      INTCT |                          10
                           ]|     CLBRAK |                    XXXXXXXX
                           ;|     SCOLON |                    XXXXXXXX
                         int|        INT |                    XXXXXXXX
                        ntab|         ID |                        ntab
                           ,|      COMMA |                    XXXXXXXX
                      nocorr|         ID |                      nocorr
                           [|     OPBRAK |                    XXXXXXXX
                          50|      INTCT |                          50
                           ]|     CLBRAK |                    XXXXXXXX
                           ;|     SCOLON |                    XXXXXXXX
                        char|       CHAR |                    XXXXXXXX
                           c|         ID |                           c
                           ;|     SCOLON |                    XXXXXXXX
                       logic|      LOGIC |                    XXXXXXXX
                         fim|         ID |                         fim
                           ;|     SCOLON |                    XXXXXXXX
                   functions|  FUNCTIONS |                    XXXXXXXX
                           :|      COLON |                    XXXXXXXX
                         int|        INT |                    XXXXXXXX
                     Procura|         ID |                     Procura
                           (|      OPPAR |                    XXXXXXXX
                           )|      CLPAR |                    XXXXXXXX
                           {|    OPBRACE |                    XXXXXXXX
                       local|      LOCAL |                    XXXXXXXX
                           :|      COLON |                    XXXXXXXX
                         int|        INT |                    XXXXXXXX
                           i|         ID |                           i
                           ,|      COMMA |                    XXXXXXXX
                         inf|         ID |                         inf
                           ,|      COMMA |                    XXXXXXXX
                         sup|         ID |                         sup
                           ,|      COMMA |                    XXXXXXXX
                         med|         ID |                         med
                           ,|      COMMA |                    XXXXXXXX
                       posic|         ID |                       posic
                           ,|      COMMA |                    XXXXXXXX
                     compara|         ID |                     compara
                           ;|     SCOLON |                    XXXXXXXX
                       logic|      LOGIC |                    XXXXXXXX
                       achou|         ID |                       achou
                           ,|      COMMA |                    XXXXXXXX
